userbuilt1519935069484,,,,,,
,,,,,,
#,(pseudo)atom,type,epsilon/kB [K],sigma [Ang.],charge [e],
1,CH2,,46,3.95,0,
2,CH,,10,4.68,0,
3,C,,0.5,6.4,0,
4,CH3,,98,3.75,0,
5,CH3,,98,3.75,0,
6,CH3,,98,3.75,0,
7,CH2,,46,3.95,0,
8,CH3,,98,3.75,0,
9,CH3,,98,3.75,0,
,,,,,,
#,stretch,type,length [Ang.],,,
1,'1 - 2',CHx-CHy,1.54,,,
2,'1 - 3',CHx-CHy,1.54,,,
3,'3 - 4',CHx-CHy,1.54,,,
4,'3 - 5',CHx-CHy,1.54,,,
5,'3 - 6',CHx-CHy,1.54,,,
6,'2 - 7',CHx-CHy,1.54,,,
7,'7 - 8',CHx-CHy,1.54,,,
8,'2 - 9',CHx-CHy,1.54,,,
,,,,,,
#,bend,type,theta [degrees],k_theta/kB [K/rad^2],,
1,'1 - 2 - 7',CHx-(CH)-CHy,112,62500,,
2,'1 - 2 - 9',CHx-(CH)-CHy,112,62500,,
3,'1 - 3 - 4',CHx-(C)-CHy,109.5,62500,,
4,'1 - 3 - 5',CHx-(C)-CHy,109.5,62500,,
5,'1 - 3 - 6',CHx-(C)-CHy,109.5,62500,,
6,'2 - 7 - 8',CHx-(CH2)-CHy,114,62500,,
7,'2 - 1 - 3',CHx-(CH2)-CHy,114,62500,,
8,'4 - 3 - 5',CHx-(C)-CHy,109.5,62500,,
9,'4 - 3 - 6',CHx-(C)-CHy,109.5,62500,,
10,'5 - 3 - 6',CHx-(C)-CHy,109.5,62500,,
11,'7 - 2 - 9',CHx-(CH)-CHy,112,62500,,
1,'1 - 2 - 7 - 8',CHx-(CH2)-(CH)-CHy,-251.06,428.73,-111.85,441.27
2,'2 - 1 - 3 - 4',CHx-(CH2)-(C)-CHy,0,0,0,461.29
3,'2 - 1 - 3 - 5',CHx-(CH2)-(C)-CHy,0,0,0,461.29
4,'2 - 1 - 3 - 6',CHx-(CH2)-(C)-CHy,0,0,0,461.29
5,'3 - 1 - 2 - 7',CHx-(CH2)-(CH)-CHy,-251.06,428.73,-111.85,441.27
6,'3 - 1 - 2 - 9',CHx-(CH2)-(CH)-CHy,-251.06,428.73,-111.85,441.27
7,'8 - 7 - 2 - 9',CHx-(CH2)-(CH)-CHy,-251.06,428.73,-111.85,441.27
